date,ticker,pct_change_prev_close,day_percent_change,max_day_percent_change,source,title,description,url,same_or_prev,date_time_story,nltk_pos_minus_neg_title,nltk_pos_minus_neg_description,nltk_pos_minus_neg_article,nltk_compound_title,nltk_compound_description,nltk_compound_article,tb_polarity_title,tb_polarity_description,tb_polarity_article,stanza_sentiment_article,open_price,close_price,percent_change,max_percent_change,volume,average_volume
7/24/15,UTI,-22.1,-20.74468085,0,bw,"EQUITY ALERT: The Rosen Law Firm Announces Investigation of Securities Claims Against Universal Technical Institute, Inc. – UTI","The Rosen Law Firm, a global investor rights law firm, announces it is investigating potential securities claims on behalf of investors of Universal Technical Institute, Inc. (NYSE:UTI) resulting from...",http://www.businesswire.com/news/home/20150724005827/en/EQUITY-ALERT-The-Rosen-Law-Firm-Announces-Investigation-of-Securities-Claims-Against-Universal-Technical-Institute-Inc.-%E2%80%93-UTI,same,07/24/2015 16:23,0.243,0.075,-0.007000000000000006,0.6289,0.296,-0.4291,-0.06666666666666667,-0.06666666666666667,-0.013544226044226046,-0.4,7.52,5.96,-0.20744680851063826,0.0,245170,218664
7/24/15,UTI,-22.1,-20.74468085,0,bw,"UTI SHAREHOLDERS NOTICE: Shareholder Rights Law Firm Johnson & Weaver, LLP Announces Investigation of Universal Technical Institute, Inc.; Investors Encouraged to Contact the Firm","Shareholder rights law firm Johnson & Weaver, LLP has commenced an investigation into whether certain officers and directors of Universal Technical Institute, Inc. (NYSE: UTI) violated federal law...",http://www.businesswire.com/news/home/20150724005676/en/UTI-SHAREHOLDERS-NOTICE-Shareholder-Rights-Law-Firm-Johnson-Weaver-LLP-Announces-Investigation-of-Universal-Technical-Institute-Inc.-Investors-Encouraged-to-Contact-the-Firm,same,07/24/2015 13:44,0.102,-0.041999999999999996,0.061,0.3612,-0.3182,0.8225,-0.1,0.0035714285714285657,0.012879572118702548,0.0,7.52,5.96,-0.20744680851063826,0.0,245170,218664
9/24/15,SIEN,-52.9,-51.93260654,1.585728444,bw,"GPM Announces Investigation of Alleged Fraud By Sientra, Inc.","Glancy Prongay & Murray LLP (“GPM”) announces that it is investigating potential claims on behalf of investors of Sientra, Inc. (""Sientra"" or the ""Company"") (NASDAQ:SIEN) concerning the Company’s...",http://www.businesswire.com/news/home/20150924006443/en/GPM-Announces-Investigation-of-Alleged-Fraud-By-Sientra-Inc.,same,09/24/2015 16:25,-0.322,0.0,0.05800000000000001,-0.5859,0.0,0.8658,-0.1,0.0,0.06666666666666668,-0.125,20.18,9.7,-0.5193260654112983,0.015857284440039657,6357344,868149
11/10/15,FTK,-38.1,-20.35242291,1.497797357,bw,"INVESTIGATION ALERT: Rigrodsky & Long, P.A. Announces Commencement of an Investigation of Flotek Industries, Inc. for Possible Violations of Federal Securities Laws","Rigrodsky & Long, P.A.: Do you own shares of Flotek Industries, Inc. (NYSE: FTK)? Did you lose money in your investment? Rigrodsky & Long, P.A. announces that it has commenced an investigation...",http://www.businesswire.com/news/home/20151110006645/en/INVESTIGATION-ALERT-Rigrodsky-Long-P.A.-Announces-Commencement-of-an-Investigation-of-Flotek-Industries-Inc.-for-Possible-Violations-of-Federal-Securities-Laws,same,11/10/2015 13:27,0.065,-0.025999999999999995,0.09799999999999999,0.186,-0.2168,0.977,-0.025,0.16666666666666666,-0.0255952380952381,-0.14285714285714285,11.35,9.04,-0.20352422907488993,0.014977973568281932,22215899,264171
11/10/15,FTK,-38.1,-20.35242291,1.497797357,bw,INVESTOR ALERT: Khang & Khang LLP Announces An Investigation Of Claims Against Flotek Industries Inc. And Advises Investors To Contact The Firm,Khang & Khang LLP announces that it is investigating claims of potential misrepresentations by Flotek Industries Inc. (“Flotek” or the “Company”) (NYSE: FTK). The investigation focuses on whether...,http://www.businesswire.com/news/home/20151110006549/en/INVESTOR-ALERT-Khang-Khang-LLP-Announces-An-Investigation-Of-Claims-Against-Flotek-Industries-Inc.-And-Advises-Investors-To-Contact-The-Firm,same,11/10/2015 12:40,0.128,0.0,0.017999999999999988,0.4466,0.0,0.2836,-0.2,0.0,-0.11416666666666668,-0.45454545454545453,11.35,9.04,-0.20352422907488993,0.014977973568281932,22215899,264171
11/10/15,FTK,-38.1,-20.35242291,1.497797357,bw,"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Announces the Commencement of an Investigation Involving Possible Securities Fraud by Flotek Industries Inc. and Certain Officers and Directors","Levi & Korsinsky, LLP announces that it has commenced an investigation of Flotek Industries Inc. (“Flotek” or the “Company”) (NYSE: FTK) concerning possible violations of federal securities laws b...",http://www.businesswire.com/news/home/20151110006431/en/SHAREHOLDER-ALERT-Levi-Korsinsky-LLP-Announces-the-Commencement-of-an-Investigation-Involving-Possible-Securities-Fraud-by-Flotek-Industries-Inc.-and-Certain-Officers-and-Directors,same,11/10/2015 11:38,0.11100000000000002,-0.03799999999999999,0.0,0.347,-0.296,-0.2359,0.10714285714285714,0.0,-0.07510822510822511,-0.2727272727272727,11.35,9.04,-0.20352422907488993,0.014977973568281932,22215899,264171
11/10/15,FTK,-38.1,-20.35242291,1.497797357,bw,INVESTOR ALERT: Goldberg Law PC Announces an Ongoing Investigation of Claims against Flotek Industries Inc. and Advises Investors to Contact the Firm,Goldberg Law PC (http://www.Goldberglawpc.com) announces that it is investigating claims of potential misrepresentations by Flotek Industries Inc. (“Flotek” or the “Company”) (NYSE: FTK). The investig...,http://www.businesswire.com/news/home/20151110006320/en/INVESTOR-ALERT-Goldberg-Law-PC-Announces-an-Ongoing-Investigation-of-Claims-against-Flotek-Industries-Inc.-and-Advises-Investors-to-Contact-the-Firm,same,11/10/2015 10:50,0.123,0.0,0.043,0.4466,0.0,0.7717,-0.2,0.0,0.013541666666666674,-0.2,11.35,9.04,-0.20352422907488993,0.014977973568281932,22215899,264171
11/10/15,FTK,-38.1,-20.35242291,1.497797357,bw,GPM Announces Investigation of Flotek Industries Inc.,Glancy Prongay & Murray LLP (“GPM”) announces an investigation on behalf of investors of Flotek Industries Inc. (“Flotek” or the “Company”) (NYSE:FTK) concerning the Company’s and its officers’ po...,http://www.businesswire.com/news/home/20151110006226/en/GPM-Announces-Investigation-of-Flotek-Industries-Inc.,same,11/10/2015 10:17,0.0,0.0,0.085,0.0,0.0,0.9153,0.0,0.0,-0.032142857142857174,-0.375,11.35,9.04,-0.20352422907488993,0.014977973568281932,22215899,264171
11/10/15,FTK,-38.1,-20.35242291,1.497797357,bw,IMPORTANT SHAREHOLDER NOTICE: Goldberg Law PC Announces an Investigation of Claims Against Flotek Industries Inc. and Strongly Encourages Investors to Contact the Firm,Goldberg Law PC (http://www.Goldberglawpc.com) announces that it is investigating claims of potential misrepresentations by Flotek Industries Inc. (“Flotek” or the “Company”) (NYSE: FTK). The investig...,http://www.businesswire.com/news/home/20151109006933/en/IMPORTANT-SHAREHOLDER-NOTICE-Goldberg-Law-PC-Announces-an-Investigation-of-Claims-Against-Flotek-Industries-Inc.-and-Strongly-Encourages-Investors-to-Contact-the-Firm,prev,11/09/2015 21:50,0.274,0.0,0.043,0.7603,0.0,0.7717,0.2111111111111111,0.0,0.013541666666666674,-0.2,11.35,9.04,-0.20352422907488993,0.014977973568281932,22215899,264171
11/10/15,FTK,-38.1,-20.35242291,1.497797357,bw,Law Offices of Howard G. Smith Commences Investigation on Behalf of Flotek Industries Inc. Investors,Law Offices of Howard G. Smith announces that it is investigating potential claims on behalf of investors of Flotek Industries Inc. (“Flotek” or the “Company”) (NYSE: FTK) concerning the Company’s and...,http://www.businesswire.com/news/home/20151109006882/en/Law-Offices-of-Howard-G.-Smith-Commences-Investigation-on-Behalf-of-Flotek-Industries-Inc.-Investors,prev,11/09/2015 18:45,0.0,0.0,0.07,0.0,0.0,0.9153,0.0,0.0,0.028571428571428557,-0.25,11.35,9.04,-0.20352422907488993,0.014977973568281932,22215899,264171
